Iref,Tref,OHref,count
0.27919936627149583,56.27393703460693,7.912567592682216,6718
0.27919936627149583,56.27393703460693,10.545460204831123,5910
0.27919936627149583,56.27393703460693,14.054443090574567,5848
0.27919936627149583,56.27393703460693,5.937031167220405,5720
0.9318831941485405,58.66364498138428,33.27039475163772,5024
0.27919936627149583,56.27393703460693,24.963751433716485,4573
0.27919936627149583,56.871364021301275,18.73103371019383,4484
0.27919936627149583,56.27393703460693,18.73103371019383,4399
0.27919936627149583,56.871364021301275,10.545460204831123,4387
0.27919936627149583,56.871364021301275,24.963751433716485,4038
0.27919936627149583,55.6765100479126,5.937031167220405,4008
0.9318831941485405,58.66364498138428,7.912567592682216,3961
0.27919936627149583,56.27393703460693,33.27039475163772,3961
0.27919936627149583,55.6765100479126,4.4547283378843066,3827
0.9318831941485405,58.66364498138428,24.963751433716485,3764
0.27919936627149583,56.871364021301275,59.09546606215296,3739
0.27919936627149583,56.27393703460693,4.4547283378843066,3674
0.9318831941485405,58.66364498138428,5.937031167220405,3653
0.27919936627149583,56.871364021301275,33.27039475163772,3600
0.9318831941485405,58.66364498138428,10.545460204831123,3592
0.27919936627149583,56.871364021301275,7.912567592682216,3570
0.27919936627149583,56.871364021301275,44.3410586693624,3523
0.27919936627149583,55.6765100479126,7.912567592682216,3406
0.9318831941485405,58.66364498138428,44.3410586693624,3391
0.9318831941485405,58.66364498138428,14.054443090574567,3380
0.27919936627149583,56.871364021301275,78.75937593515485,3180
0.27919936627149583,56.871364021301275,14.054443090574567,3175
0.9318831941485405,58.66364498138428,4.4547283378843066,2860
0.27919936627149583,56.871364021301275,5.937031167220405,2821
0.27919936627149583,57.468791007995605,139.89380235481525,2669
0.27919936627149583,55.6765100479126,18.73103371019383,2628
0.27919936627149583,55.6765100479126,10.545460204831123,2593
0.27919936627149583,55.079083061218256,3.3425131190005715,2588
0.9318831941485405,59.26107196807861,33.27039475163772,2551
0.9318831941485405,58.66364498138428,18.73103371019383,2453
0.27919936627149583,55.6765100479126,3.3425131190005715,2359
0.27919936627149583,54.481656074523926,3.3425131190005715,2333
0.27919936627149583,55.6765100479126,24.963751433716485,2261
0.27919936627149583,55.6765100479126,14.054443090574567,2252
0.9318831941485405,59.26107196807861,24.963751433716485,2201
0.27919936627149583,56.27393703460693,44.3410586693624,2195
0.9318831941485405,58.66364498138428,3.3425131190005715,2182
