rank,count,Iref,Tref,OHref
1,18098,0.29953429713845253,58.39892177581787,11.306352619266852
2,17375,0.29953429713845253,58.39892177581787,7.86433999718116
3,15827,0.29953429713845253,58.39892177581787,16.25484269462183
4,13401,0.29953429713845253,58.39892177581787,5.470185273177321
5,13271,0.29953429713845253,57.77678394317627,7.86433999718116
6,12726,0.29953429713845253,58.39892177581787,33.59721364050968
7,12719,0.29953429713845253,58.39892177581787,23.369155369933406
8,11342,0.29953429713845253,57.77678394317627,5.470185273177321
9,10510,0.29953429713845253,57.77678394317627,11.306352619266852
10,10099,0.29953429713845253,57.77678394317627,3.8048872421094977
11,9892,0.9744024504721165,58.39892177581787,99.83526981836191
12,9530,0.29953429713845253,57.77678394317627,16.25484269462183
13,9223,0.9744024504721165,59.021059608459474,99.83526981836191
14,9105,0.9744024504721165,58.39892177581787,69.44224472744489
15,9073,0.9744024504721165,58.39892177581787,143.53051429753026
16,8837,0.9744024504721165,58.39892177581787,48.301821205670116
17,8803,0.9744024504721165,58.39892177581787,33.59721364050968
18,8568,0.9744024504721165,59.021059608459474,143.53051429753026
19,8385,0.29953429713845253,59.021059608459474,16.25484269462183
20,8085,0.29953429713845253,57.77678394317627,33.59721364050968
