timestamp,gt_uref_raw,dataset_name,label,iref,tref,ohref,i_range_low,i_range_high,t_range_low,t_range_high,oh_range_low,oh_range_high
2021-06-19 06:33:00,1.8858625888824463,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:34:00,1.8884446620941162,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:35:00,1.8889127969741821,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:38:00,1.8852012157440186,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:52:00,1.8847006559371948,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:53:00,1.8859776258468628,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:55:00,1.8884795904159546,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:56:00,1.8900067806243896,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 06:57:00,1.8884689807891846,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:00:00,1.8813740015029907,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:12:00,1.8850116729736328,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:14:00,1.8874094486236572,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:15:00,1.8872454166412354,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:17:00,1.8875466585159302,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:18:00,1.8868494033813477,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:19:00,1.8846635818481445,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:32:00,1.8841112852096558,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:33:00,1.8856343030929565,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:35:00,1.8888323307037354,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-06-19 07:37:00,1.8908133506774902,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2021-08-03 09:20:00,1.8903419971466064,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2022-02-03 04:44:00,1.9444025754928589,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2022-02-03 04:45:00,1.9443540573120117,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
2022-02-03 04:59:00,1.9457473754882812,G1M1_new,g1m1_high_load,1.48,57.0,100.0,1.46,1.5,56,58,14,500
